no_of_bedrooms,no_of_bathrooms,flat_area_in_sqft,lot_area_in_sqft,no_of_floors,waterfront_view,condition_of_the_house,overall_grade,area_of_the_house_from_basement_in_sqft,basement_area_in_sqft,age_of_house_in_years,zipcode,latitude,longitude,living_area_after_renovation_in_sqft,lot_area_after_renovation_in_sqft,does_basement_exist
6,1.75,2210.0,8594.0,1.0,no,fair,7,1310.0,900,59,98188,47.4594,-122.273,1850.0,8594,1
3,3.0,2470.0,7410.0,2.0,no,excellent,8,1860.0,610,41,98117,47.6937,-122.392,2390.0,7800,1
3,1.75,1710.0,7350.0,1.0,no,fair,8,1280.0,430,37,98033,47.699,-122.167,2100.0,7560,1
3,1.5,1700.0,14133.0,1.0,no,good,8,1700.0,0,64,98004,47.6166,-122.22,2630.0,17376,0
4,3.5,4700.0,10183.0,1.0,no,fair,10,2660.0,2040,16,98033,47.6728,-122.189,3770.0,9000,1
4,2.25,2570.0,11070.0,2.0,no,good,8,2570.0,0,52,98058,47.4507,-122.152,2210.0,9600,0
2,1.0,1130.0,6908.0,1.5,no,fair,6,1130.0,0,73,98155,47.745,-122.313,1150.0,6908,0
3,2.0,1410.0,7622.0,1.0,no,good,7,1410.0,0,35,98058,47.4273,-122.147,1830.0,8330,0
3,2.5,1650.0,1838.0,2.0,no,good,7,1270.0,380,27,98107,47.6666,-122.367,1550.0,1558,1
3,1.5,1690.0,161913.0,1.0,no,okay,7,1430.0,260,66,98030,47.356,-122.189,1930.0,12548,1
3,1.0,1250.0,8412.0,1.0,no,good,7,1250.0,0,43,98052,47.7012,-122.131,1840.0,8976,0
3,1.75,1940.0,8729.0,1.0,no,fair,8,1460.0,480,58,98125,47.7027,-122.282,2250.0,9165,1
4,2.0,1370.0,4000.0,2.0,no,fair,9,1370.0,0,67,98199,47.6593,-122.394,2010.0,5720,0
4,3.5,2730.0,5607.0,1.0,no,excellent,9,1660.0,1070,70,98199,47.6387,-122.396,1720.0,5400,1
3,2.5,2060.0,25046.0,1.0,no,good,8,1600.0,460,38,98022,47.184,-121.959,2050.0,21255,1
3,2.5,2510.0,5503.0,2.0,no,fair,9,2510.0,0,23,98136,47.5419,-122.383,1790.0,6099,0
3,2.0,2900.0,5650.0,1.0,no,fair,8,1520.0,1380,59,98116,47.5789,-122.396,1810.0,6250,1
3,1.75,1340.0,7210.0,1.0,no,good,7,1340.0,0,43,98031,47.4182,-122.167,1370.0,7210,0
4,2.5,2930.0,7806.0,2.0,no,fair,9,2930.0,0,13,98074,47.6219,-122.024,2600.0,6051,0
4,3.5,4370.0,422967.0,1.0,no,good,10,2580.0,1790,40,98022,47.2332,-122.029,3260.0,422967,1
4,3.0,3400.0,292723.0,2.0,no,fair,10,3400.0,0,20,98045,47.4883,-121.725,1760.0,69696,0
4,1.75,2320.0,12000.0,1.0,no,good,8,2270.0,50,45,98032,47.3644,-122.28,2120.0,9880,1
3,3.25,2250.0,60548.0,1.0,no,fair,9,2250.0,0,13,98038,47.4246,-122.014,2760.0,84070,0
3,1.0,1160.0,9750.0,1.0,no,fair,7,1160.0,0,50,98077,47.7429,-122.072,1160.0,10565,0
3,1.75,1210.0,9635.0,1.0,no,good,7,1210.0,0,31,98019,47.7382,-121.98,1550.0,10707,0
3,2.0,1870.0,7080.0,1.0,no,good,7,1210.0,660,49,98034,47.7244,-122.179,1620.0,8000,1
4,1.75,1750.0,18810.0,1.0,no,fair,7,1220.0,530,41,98059,47.4719,-122.074,1840.0,17424,1
4,1.75,2290.0,7380.0,1.0,no,fair,7,1390.0,900,55,98178,47.5034,-122.245,1170.0,7381,1
3,2.5,2910.0,12283.0,2.0,no,fair,10,2910.0,0,25,98058,47.4602,-122.152,2680.0,22499,0
3,1.75,1920.0,8775.0,1.0,no,fair,7,1920.0,0,65,98166,47.4544,-122.351,1560.0,8100,0
2,2.25,3950.0,3938.0,2.0,no,fair,10,2910.0,1040,27,98116,47.5912,-122.384,3220.0,4500,1
4,2.5,2090.0,5195.0,2.0,no,fair,7,2090.0,0,11,98031,47.3986,-122.166,2090.0,5236,0
3,3.25,4220.0,41300.0,1.0,yes,good,10,2460.0,1760,60,98008,47.6083,-122.11,3810.0,30401,1
3,2.5,1440.0,4473.0,2.0,no,fair,7,1440.0,0,15,98053,47.6825,-122.036,1650.0,3322,0
3,1.75,2000.0,12208.0,1.0,no,fair,7,1140.0,860,39,98032,47.3752,-122.236,1060.0,8194,1
3,1.0,1640.0,12384.0,1.0,no,good,7,1090.0,550,64,98003,47.3256,-122.298,1550.0,11200,1
3,1.75,2000.0,5680.0,1.0,no,good,7,1080.0,920,115,98117,47.6805,-122.366,1230.0,4535,1
4,2.5,2990.0,5122.0,2.0,no,fair,8,2990.0,0,14,98075,47.5773,-122.055,3140.0,7875,0
3,1.75,2130.0,6360.0,1.0,no,fair,7,1720.0,410,59,98125,47.7059,-122.301,1540.0,6361,1
4,1.75,2010.0,12188.0,1.0,no,good,7,1150.0,860,58,98059,47.5013,-122.147,1720.0,8475,1
6,2.5,4410.0,14034.0,1.0,no,good,9,2350.0,2060,53,98003,47.3376,-122.324,2600.0,13988,1
5,3.0,3620.0,12778.0,1.0,no,excellent,8,1900.0,1720,54,98006,47.5512,-122.191,2930.0,10669,1
4,2.5,2310.0,5526.0,2.0,no,fair,9,2310.0,0,15,98074,47.6299,-122.02,2500.0,5769,0
4,2.5,2150.0,10098.0,1.0,no,fair,7,1090.0,1060,55,98034,47.7166,-122.201,1880.0,10000,1
3,2.0,1980.0,3478.0,1.5,no,good,7,1440.0,540,89,98117,47.6775,-122.372,1610.0,3478,1
5,2.0,1730.0,7375.0,1.0,no,good,6,1730.0,0,74,98178,47.4953,-122.238,1550.0,7125,0
4,2.75,2780.0,6207.0,2.0,no,fair,8,2780.0,0,17,98053,47.6867,-122.038,2660.0,5592,0
3,2.75,2440.0,45738.0,2.0,no,fair,8,1840.0,600,31,98027,47.5453,-121.957,2440.0,189100,1
4,2.25,2000.0,9000.0,1.0,no,good,8,2000.0,0,40,98023,47.3125,-122.387,2190.0,8374,0
4,3.5,3080.0,5250.0,2.0,no,fair,9,3080.0,0,15,98075,47.5992,-121.972,2980.0,5509,0
4,1.75,2220.0,6500.0,2.0,no,good,8,2220.0,0,54,98166,47.4519,-122.375,2430.0,11600,0
3,1.75,2340.0,10495.0,1.0,no,good,8,2340.0,0,51,98040,47.5386,-122.226,3120.0,11068,0
4,3.25,3960.0,16224.0,2.0,no,fair,10,3100.0,860,80,98105,47.6701,-122.259,3960.0,15050,1
3,1.75,1920.0,4500.0,1.0,no,excellent,7,960.0,960,94,98107,47.6645,-122.357,1190.0,4000,1
4,2.5,1670.0,5116.0,2.0,no,fair,8,1670.0,0,19,98155,47.7667,-122.33,1910.0,7210,0
4,3.75,2810.0,10840.0,2.0,no,good,8,2070.0,740,24,98045,47.4861,-121.804,2370.0,11248,1
3,1.75,1280.0,16200.0,1.0,no,fair,8,1030.0,250,42,98077,47.7427,-122.071,1160.0,10565,1
4,2.0,2220.0,14120.0,1.0,no,fair,7,1200.0,1020,52,98042,47.361,-122.116,1300.0,9709,1
3,1.5,1500.0,14750.0,1.5,no,good,6,1500.0,0,85,98168,47.495,-122.318,1270.0,15100,0
3,1.75,2430.0,14607.0,1.0,no,fair,8,1230.0,1200,69,98040,47.5588,-122.211,2750.0,17425,1
3,1.0,840.0,8400.0,1.0,no,fair,6,840.0,0,59,98023,47.3281,-122.344,1030.0,8640,0
4,2.5,2280.0,42077.0,2.0,no,fair,8,2280.0,0,24,98042,47.3424,-122.077,2280.0,36236,0
4,2.5,3402.0,14355.0,2.0,no,fair,10,2846.0,556,4,98023,47.3009,-122.385,3402.0,8487,1
2,1.75,2040.0,114562.0,1.0,no,good,7,2040.0,0,50,98027,47.4985,-122.092,1850.0,94960,0
3,2.0,2660.0,192099.0,1.0,no,good,9,2660.0,0,54,98022,47.2098,-122.016,2570.0,43561,0
3,2.0,1840.0,6755.0,1.0,no,fair,8,1840.0,0,29,98003,47.3512,-122.305,1790.0,6459,0
5,2.0,2500.0,7860.0,1.0,no,fair,7,1040.0,1460,55,98034,47.7212,-122.226,2060.0,9684,1
3,3.5,2540.0,10578.0,2.0,no,fair,9,2010.0,530,4,98006,47.547,-122.192,3240.0,9831,1
4,2.5,2660.0,5539.0,2.0,no,fair,8,2660.0,0,14,98059,47.4981,-122.162,2380.0,5539,0
1,0.75,780.0,77603.0,1.0,no,bad,5,780.0,0,73,98058,47.4396,-122.104,1750.0,30847,0
3,2.5,2380.0,5269.0,2.0,no,fair,8,2380.0,0,10,98056,47.5066,-122.192,2150.0,7600,0
3,2.0,1750.0,9239.0,1.0,no,fair,8,1410.0,340,29,98133,47.7583,-122.339,1720.0,7874,1
5,2.75,2920.0,6327.0,2.0,no,fair,8,2920.0,0,11,98059,47.4935,-122.145,2520.0,5026,0
4,2.5,2220.0,5338.0,2.0,no,fair,7,2220.0,0,17,98059,47.4887,-122.15,2220.0,5338,0
4,2.5,2180.0,3375.0,1.5,no,good,7,1420.0,760,92,98117,47.6846,-122.361,1560.0,3375,1
5,2.5,3160.0,8000.0,1.0,no,good,7,1580.0,1580,58,98040,47.5735,-122.208,2440.0,8079,1
3,2.25,2470.0,11603.0,2.0,no,fair,8,1540.0,930,30,98052,47.6569,-122.123,2850.0,11250,1
6,3.0,2620.0,4350.0,1.0,no,fair,7,1760.0,860,61,98117,47.678,-122.373,1760.0,4300,1
3,2.5,2060.0,5750.0,1.0,no,fair,7,1330.0,730,42,98116,47.5671,-122.391,1920.0,5750,1
3,1.0,1000.0,9295.0,1.0,no,fair,7,1000.0,0,63,98146,47.484,-122.346,1320.0,13500,0
4,2.5,1790.0,10584.0,1.0,no,good,7,1290.0,500,37,98031,47.4061,-122.188,1730.0,9120,1
3,2.75,3160.0,9072.0,2.0,no,fair,9,3160.0,0,13,98056,47.5147,-122.177,3160.0,9072,0
6,2.75,2730.0,5000.0,1.0,no,fair,8,1780.0,950,56,98107,47.6751,-122.38,2090.0,5000,1
4,2.75,3020.0,8622.0,2.0,no,fair,9,3020.0,0,42,98004,47.5866,-122.201,3060.0,14303,0
4,2.25,2550.0,12918.0,2.0,no,fair,9,2550.0,0,31,98006,47.5623,-122.109,2550.0,11036,0
3,2.0,1490.0,9285.0,1.0,no,fair,8,1490.0,0,23,98092,47.3248,-122.169,2040.0,6681,0
3,1.75,1520.0,7350.0,1.0,no,good,7,1140.0,380,46,98034,47.7167,-122.17,1380.0,7350,1
4,2.25,1880.0,3000.0,2.0,no,fair,8,1760.0,120,109,98103,47.6864,-122.349,1880.0,3000,1
3,2.5,2370.0,9000.0,1.0,no,good,8,1570.0,800,66,98146,47.4922,-122.365,2120.0,9500,1
4,2.25,2330.0,7220.0,2.0,no,fair,8,1600.0,730,30,98177,47.7764,-122.386,2220.0,9100,1
3,1.0,1200.0,7727.0,1.0,no,good,7,1200.0,0,59,98022,47.2021,-121.999,1300.0,7718,0
3,2.5,1460.0,7936.0,2.0,no,fair,7,1460.0,0,23,98038,47.3673,-122.017,1830.0,7936,0
3,2.25,1790.0,2240.0,2.0,no,good,8,1790.0,0,43,98052,47.6343,-122.106,1780.0,2560,0
3,1.75,1660.0,9549.0,1.0,no,fair,7,1660.0,0,62,98033,47.6503,-122.198,2090.0,9549,0
4,2.75,2300.0,18360.0,1.0,no,good,7,1560.0,740,39,98058,47.4518,-122.16,1870.0,9588,1
3,1.5,990.0,4500.0,1.0,no,excellent,7,990.0,0,70,98122,47.6051,-122.298,1490.0,4000,0
3,2.25,1700.0,7210.0,1.0,no,good,7,1250.0,450,44,98003,47.3546,-122.318,2070.0,7300,1
3,2.5,1570.0,1551.0,3.0,no,fair,8,1570.0,0,10,98103,47.6961,-122.341,1570.0,1705,0
3,1.75,2000.0,6130.0,1.0,no,good,8,1120.0,880,67,98117,47.6925,-122.388,2140.0,7150,1
4,2.75,3010.0,7427.0,2.0,no,fair,8,3010.0,0,8,98052,47.7068,-122.112,3000.0,4929,0
4,3.25,2840.0,54400.0,1.0,no,good,8,2840.0,0,34,98053,47.6707,-122.045,2550.0,43560,0
4,2.0,1950.0,3757.0,1.0,no,good,6,1160.0,790,110,98118,47.5372,-122.269,1720.0,3757,1
4,2.0,1820.0,7102.0,1.0,no,fair,7,1220.0,600,68,98155,47.7447,-122.324,1650.0,8184,1
2,1.75,960.0,6200.0,1.0,no,good,7,960.0,0,72,98136,47.5551,-122.396,1000.0,6000,0
4,3.5,3590.0,5335.0,2.0,no,fair,9,3140.0,450,12,98115,47.6762,-122.267,2100.0,6250,1
3,1.5,2040.0,3960.0,2.0,no,excellent,8,2040.0,0,90,98103,47.6658,-122.355,1540.0,3400,0
4,3.0,3370.0,7920.0,1.0,no,fair,10,1860.0,1510,30,98117,47.6773,-122.403,2730.0,7380,1
2,1.0,1140.0,5500.0,1.0,no,fair,6,1140.0,0,71,98106,47.5187,-122.363,1110.0,5500,0
3,1.75,1230.0,12000.0,1.0,no,fair,6,1230.0,0,48,98001,47.2878,-122.251,1550.0,12000,0
4,2.5,3200.0,7535.0,2.0,no,fair,9,3200.0,0,12,98105,47.666,-122.276,1650.0,6850,0
3,1.0,1220.0,4800.0,1.0,no,fair,6,1220.0,0,117,98122,47.6101,-122.307,1200.0,4800,0
5,2.75,3010.0,5398.0,2.0,no,fair,9,3010.0,0,4,98074,47.6067,-122.053,3360.0,5407,0
3,1.0,1140.0,5000.0,1.0,no,fair,7,1140.0,0,58,98106,47.5535,-122.362,1140.0,5000,0
3,1.75,1370.0,1921.0,3.0,no,fair,8,1370.0,0,11,98103,47.6595,-122.351,1370.0,4000,0
2,1.5,1643.0,14616.0,1.0,no,good,7,1643.0,0,64,98198,47.3973,-122.312,2270.0,9940,0
3,2.75,2390.0,9313.0,1.0,no,excellent,8,1390.0,1000,76,98133,47.7209,-122.331,2390.0,12712,1
4,2.0,1530.0,5250.0,1.0,no,fair,7,1110.0,420,37,98133,47.7336,-122.339,1100.0,5250,1
3,2.5,1960.0,3540.0,2.0,no,fair,8,1960.0,0,6,98038,47.3568,-122.055,1840.0,3825,0
3,2.25,3440.0,44374.0,2.0,no,good,10,2190.0,1250,39,98006,47.547,-122.111,3470.0,40185,1
3,2.25,2180.0,60112.0,2.0,no,fair,8,2180.0,0,42,98053,47.6723,-122.082,2060.0,120225,0
3,3.0,1820.0,1641.0,3.0,no,fair,8,1540.0,280,12,98119,47.6482,-122.358,1720.0,1501,1
2,1.75,1560.0,7575.0,1.0,no,fair,8,1560.0,0,16,98030,47.3776,-122.228,2050.0,9000,0
5,3.75,3630.0,6000.0,1.5,no,fair,9,2470.0,1160,14,98033,47.6816,-122.199,2560.0,7560,1
2,1.5,1160.0,1118.0,2.0,no,fair,8,1020.0,140,11,98117,47.6754,-122.375,1210.0,1118,1
3,2.25,2400.0,12350.0,1.0,no,good,8,1420.0,980,50,98033,47.6533,-122.192,2615.0,12043,1
2,1.75,6840.0,10000.0,2.5,yes,fair,10,4350.0,2490,17,98008,47.6042,-122.112,3120.0,12300,1
6,3.5,3720.0,11690.0,2.0,no,fair,10,3720.0,0,15,98040,47.5699,-122.226,3030.0,11686,0
2,1.0,830.0,7590.0,1.0,no,okay,6,830.0,0,75,98166,47.4784,-122.335,980.0,7590,0
5,2.5,3480.0,74052.0,1.0,no,good,8,1980.0,1500,46,98027,47.4961,-122.063,2610.0,65775,1
2,2.0,1470.0,2052.0,1.5,no,fair,7,1470.0,0,32,98003,47.3086,-122.328,1470.0,2052,0
4,3.0,2540.0,8800.0,1.0,no,fair,9,1620.0,920,41,98023,47.3204,-122.387,2540.0,8800,1
3,1.0,1230.0,171190.0,1.0,no,fair,7,1230.0,0,45,98070,47.4397,-122.46,1550.0,15450,0
3,2.5,1690.0,3129.0,2.0,no,fair,7,1690.0,0,16,98053,47.6875,-122.043,1690.0,3129,0
4,2.5,2500.0,10330.0,2.0,no,fair,10,2500.0,0,26,98006,47.5595,-122.114,2710.0,8375,0
3,2.0,1310.0,9855.0,1.0,no,fair,7,1310.0,0,56,98034,47.7296,-122.241,1310.0,8370,0
2,1.5,1490.0,4080.0,1.0,no,fair,7,930.0,560,62,98126,47.5344,-122.381,1320.0,4080,1
2,1.0,1210.0,18700.0,1.0,no,good,7,1210.0,0,78,98042,47.3752,-122.166,2250.0,10048,0
4,2.5,2100.0,7920.0,1.5,no,good,6,1400.0,700,102,98126,47.5293,-122.371,1230.0,7920,1
5,1.0,1710.0,9100.0,1.5,no,good,7,1320.0,390,92,98126,47.5379,-122.378,1880.0,9100,1
3,2.5,1440.0,3840.0,2.0,no,fair,7,1440.0,0,17,98053,47.6873,-122.043,1600.0,3131,0
3,2.5,1730.0,8490.0,1.0,no,fair,7,1210.0,520,49,98034,47.7187,-122.219,1870.0,7400,1
4,1.75,1940.0,15909.0,1.0,no,fair,8,970.0,970,44,98072,47.7578,-122.094,1940.0,15120,1
4,2.5,2390.0,7115.0,2.0,no,fair,9,2390.0,0,19,98092,47.2593,-122.222,2600.0,7916,0
3,1.75,1640.0,4860.0,1.0,no,fair,8,1200.0,440,53,98125,47.7125,-122.32,1480.0,7200,1
2,2.5,3090.0,47044.0,1.0,no,good,10,2250.0,840,39,98058,47.4291,-122.177,1860.0,62829,1
2,1.5,2060.0,7713.0,1.5,no,good,7,2060.0,0,88,98030,47.3722,-122.185,1780.0,7713,0
4,1.75,1780.0,9794.0,1.0,no,fair,7,1780.0,0,51,98077,47.7419,-122.073,1160.0,9750,0
5,2.0,2290.0,7125.0,1.0,no,fair,7,1190.0,1100,54,98008,47.63399999999999,-122.119,1460.0,7920,1
3,2.0,1410.0,10625.0,1.0,no,fair,7,1410.0,0,38,98042,47.3649,-122.117,1410.0,9744,0
4,3.0,2230.0,52983.0,2.0,no,fair,8,2230.0,0,27,98030,47.3577,-122.195,2060.0,8755,0
4,2.5,2070.0,8473.0,1.0,no,good,8,1250.0,820,42,98033,47.6608,-122.19,2070.0,9499,1
3,3.0,2480.0,5500.0,2.0,no,fair,10,1730.0,750,68,98199,47.6466,-122.404,2950.0,5670,1
3,2.5,2320.0,5000.0,2.0,no,fair,8,1620.0,700,111,98112,47.6278,-122.292,2160.0,5000,1
5,2.25,2020.0,8400.0,1.0,no,good,7,1010.0,1010,55,98040,47.5763,-122.219,1890.0,9233,1
4,3.0,2130.0,6325.0,1.0,no,excellent,7,1440.0,690,70,98116,47.5683,-122.396,1240.0,6325,1
5,2.75,2410.0,19447.0,2.0,no,fair,10,2290.0,120,50,98040,47.5549,-122.211,2980.0,19447,1
4,2.5,1920.0,7345.0,2.0,no,fair,8,1920.0,0,26,98038,47.3526,-122.055,1860.0,7364,0
2,1.0,680.0,4190.0,1.0,no,okay,5,680.0,0,112,98103,47.6901,-122.358,1070.0,4175,0
3,2.5,1300.0,1331.0,3.0,no,fair,8,1300.0,0,11,98103,47.6607,-122.352,1450.0,5270,0
4,3.0,2910.0,8540.0,2.0,no,fair,9,2910.0,0,15,98059,47.5223,-122.156,3040.0,6091,0
3,1.75,1830.0,5488.0,1.0,no,good,7,1010.0,820,79,98115,47.6914,-122.309,1200.0,5488,1
2,2.0,1030.0,21712.0,1.0,no,good,6,1030.0,0,80,98168,47.4905,-122.331,1790.0,9199,0
2,1.0,880.0,12000.0,1.0,no,fair,7,880.0,0,79,98133,47.7436,-122.356,1960.0,9395,0
4,1.75,2430.0,5481.0,1.0,no,fair,8,1430.0,1000,65,98108,47.5569,-122.298,2050.0,5508,1
5,3.5,3510.0,4798.0,2.0,no,fair,10,2700.0,810,10,98105,47.669,-122.282,1460.0,1684,1
5,3.5,3150.0,10542.0,1.0,no,excellent,9,1620.0,1530,44,98011,47.7469,-122.217,3150.0,11807,1
3,2.25,1980.0,7200.0,1.0,no,fair,8,1300.0,680,54,98177,47.7625,-122.36,1820.0,8250,1
3,2.5,1540.0,1256.0,3.0,no,fair,8,1540.0,0,14,98103,47.6498,-122.346,1500.0,1350,0
3,2.5,1590.0,4108.0,2.0,no,fair,7,1590.0,0,15,98056,47.4832,-122.181,2160.0,3912,0
4,1.75,2320.0,4322.0,1.0,no,fair,7,1140.0,1180,108,98144,47.5755,-122.289,1820.0,4322,1
4,2.0,1980.0,23625.0,2.0,no,fair,8,1980.0,0,80,98072,47.7553,-122.092,2300.0,24640,0
2,1.0,1470.0,25661.0,1.5,no,fair,4,1470.0,0,86,98059,47.4878,-122.13,1670.0,43301,0
4,2.5,2780.0,7290.0,2.0,no,fair,8,2780.0,0,29,98059,47.50899999999999,-122.157,2450.0,7738,0
4,2.5,3670.0,54450.0,2.0,no,fair,10,3670.0,0,19,98074,47.6211,-122.016,2900.0,49658,0
4,2.5,2620.0,6114.0,2.0,no,fair,9,2620.0,0,7,98029,47.5603,-122.013,2620.0,5808,0
3,1.75,1950.0,19747.0,1.0,no,fair,7,1150.0,800,39,98072,47.7685,-122.162,2560.0,9674,1
4,2.5,4250.0,19387.0,2.0,no,good,9,3260.0,990,46,98040,47.5578,-122.212,3690.0,17024,1
4,2.5,2840.0,12866.0,1.0,no,good,9,1780.0,1060,41,98005,47.6388,-122.167,2840.0,13209,1
5,1.5,2940.0,13425.0,1.0,no,fair,8,1470.0,1470,63,98155,47.7632,-122.29,1580.0,8200,1
3,2.25,2280.0,200811.0,1.0,no,fair,7,2280.0,0,40,98014,47.6522,-121.941,2280.0,206038,0
4,2.5,2700.0,25870.0,2.0,no,good,8,2700.0,0,26,98033,47.6934,-122.161,1540.0,20720,0
4,2.25,2590.0,36256.0,2.0,no,fair,8,2590.0,0,40,98077,47.769,-122.094,2670.0,35657,0
3,1.75,1200.0,4500.0,1.0,no,excellent,7,1200.0,0,112,98108,47.5553,-122.316,1340.0,4500,0
4,3.5,3510.0,9084.0,2.0,no,fair,10,3510.0,0,17,98065,47.5402,-121.875,3690.0,9568,0
2,1.0,790.0,5240.0,1.0,no,good,6,790.0,0,93,98118,47.5303,-122.288,1430.0,5320,0
2,2.0,1460.0,9052.0,1.0,no,excellent,6,1460.0,0,118,98033,47.6857,-122.208,2554.0,7834,0
3,2.25,1620.0,998.0,2.5,no,fair,8,1540.0,80,8,98027,47.5401,-122.027,1620.0,1299,1
3,1.75,1960.0,43995.0,1.0,no,fair,7,1960.0,0,48,98059,47.4915,-122.106,1960.0,42253,0
5,1.75,2460.0,16000.0,1.0,no,fair,7,1230.0,1230,61,98023,47.3305,-122.351,1990.0,16000,1
4,2.75,3430.0,6500.0,2.0,no,fair,9,3050.0,380,12,98052,47.7079,-122.106,3070.0,6802,1
5,1.0,1410.0,6750.0,1.5,no,fair,6,1410.0,0,89,98118,47.5453,-122.278,1360.0,6750,0
4,3.0,2490.0,4325.0,1.5,no,fair,8,1690.0,800,96,98105,47.6628,-122.326,1960.0,4284,1
4,1.75,2140.0,8000.0,1.0,no,good,8,1410.0,730,53,98007,47.622,-122.139,2080.0,8000,1
3,1.0,1080.0,6250.0,1.0,no,okay,5,1080.0,0,68,98168,47.5045,-122.33,1070.0,6250,0
1,1.0,820.0,1060.0,1.0,no,fair,8,760.0,60,11,98126,47.5473,-122.371,1770.0,1924,1
3,3.0,2960.0,5500.0,2.0,no,fair,10,2440.0,520,81,98199,47.6356,-122.402,2960.0,5876,1
3,2.5,2678.0,6607.0,2.0,no,fair,9,2678.0,0,20,98028,47.738,-122.235,2780.0,6607,0
4,2.25,1850.0,2340.0,2.5,no,fair,8,1850.0,0,4,98126,47.543,-122.372,1850.0,2340,0
3,2.5,2620.0,14248.0,2.0,no,good,8,1830.0,790,41,98004,47.6281,-122.194,2620.0,12343,1
2,2.25,1210.0,1267.0,2.0,no,fair,8,1120.0,90,8,98117,47.6783,-122.376,1360.0,1349,1
5,2.5,2170.0,2752.0,2.0,no,fair,8,2170.0,0,4,98106,47.5165,-122.346,1800.0,2752,0
4,1.5,2750.0,128502.0,1.0,no,okay,7,1500.0,1250,60,98055,47.4345,-122.198,1470.0,11514,1
2,1.5,1070.0,937.0,3.0,no,fair,8,1070.0,0,15,98115,47.6761,-122.3,1100.0,3200,0
4,2.0,2340.0,6000.0,1.0,no,excellent,8,1270.0,1070,65,98199,47.6495,-122.401,1600.0,6000,1
4,2.5,2150.0,8165.0,1.0,no,fair,8,1430.0,720,61,98177,47.773,-122.371,2360.0,7980,1
4,3.0,2840.0,13554.0,1.0,no,good,9,1990.0,850,44,98034,47.7153,-122.257,2840.0,16940,1
3,2.5,1210.0,2046.0,2.0,no,fair,9,920.0,290,10,98106,47.5212,-122.357,1070.0,651,1
5,2.5,3190.0,8160.0,2.0,no,fair,9,3190.0,0,4,98177,47.7246,-122.363,1650.0,8160,0
4,1.75,2240.0,7500.0,1.0,no,good,7,1120.0,1120,62,98133,47.7466,-122.34,1440.0,7500,1
4,1.75,1320.0,4800.0,1.0,no,good,7,870.0,450,88,98106,47.5534,-122.365,940.0,4800,1
4,1.5,1590.0,131551.0,1.0,no,good,7,1590.0,0,52,98022,47.2558,-122.024,2280.0,108028,0
4,1.0,1280.0,10521.0,1.5,no,fair,7,1280.0,0,58,98198,47.4215,-122.289,1540.0,9384,0
4,2.75,2610.0,8760.0,1.0,no,good,8,1760.0,850,40,98040,47.5875,-122.229,2550.0,10376,1
3,2.75,3240.0,7200.0,1.0,no,fair,8,1620.0,1620,58,98118,47.567,-122.273,2700.0,7200,1
3,1.75,1530.0,9362.0,1.0,no,fair,7,1530.0,0,31,98038,47.3643,-122.049,1480.0,8125,0
3,2.25,2280.0,5750.0,1.0,no,good,7,1150.0,1130,33,98116,47.5641,-122.393,1500.0,5060,1
3,2.5,1580.0,991.0,3.0,no,fair,9,1580.0,0,9,98119,47.6276,-122.359,1610.0,1297,0
4,4.0,4000.0,9309.0,2.0,no,fair,9,4000.0,0,11,98065,47.5421,-121.888,3920.0,8048,0
6,4.25,3100.0,9378.0,3.0,no,fair,10,3100.0,0,40,98112,47.6381,-122.314,3270.0,6334,0
3,1.5,1340.0,25160.0,1.0,no,fair,7,1340.0,0,50,98059,47.475,-122.111,1440.0,23680,0
3,2.5,2430.0,88426.0,1.0,no,good,7,1570.0,860,33,98045,47.4828,-121.718,1560.0,56827,1
3,2.25,3000.0,18450.0,1.0,no,fair,10,3000.0,0,35,98077,47.7274,-122.062,2980.0,12304,0
4,2.5,2640.0,7883.0,2.0,no,fair,8,2640.0,0,28,98092,47.3124,-122.188,2150.0,7683,0
4,1.75,1830.0,6000.0,1.0,no,good,7,930.0,900,79,98199,47.6536,-122.41,1540.0,6000,1
4,3.25,3760.0,10920.0,1.5,no,excellent,9,2400.0,1360,68,98105,47.6687,-122.264,3430.0,11050,1
4,2.5,2030.0,3974.0,2.0,no,fair,8,2030.0,0,24,98029,47.5692,-122.006,1780.0,3953,0
3,2.5,2680.0,7836.0,2.0,no,fair,8,2680.0,0,28,98092,47.3203,-122.185,2340.0,8040,0
3,1.5,1190.0,4750.0,1.0,no,fair,7,970.0,220,78,98107,47.6726,-122.386,1460.0,4750,1
3,2.5,2860.0,4442.0,2.0,no,fair,8,2860.0,0,18,98199,47.661,-122.396,1440.0,4400,0
3,1.75,1650.0,5100.0,1.0,no,excellent,7,1040.0,610,110,98115,47.6873,-122.321,1540.0,5100,1
4,2.5,1900.0,5790.0,2.0,no,fair,8,1900.0,0,24,98029,47.5691,-121.996,2030.0,5790,0
2,1.5,1160.0,8060.0,1.0,no,good,7,1160.0,0,68,98136,47.5146,-122.386,1500.0,8060,0
3,2.5,1430.0,8470.0,1.0,no,fair,7,1190.0,240,26,98022,47.1943,-121.991,1670.0,8418,1
4,2.75,2420.0,4635.0,1.5,no,excellent,7,2420.0,0,113,98103,47.682,-122.347,1590.0,3150,0
3,1.0,1340.0,5175.0,1.0,no,fair,7,940.0,400,31,98133,47.7321,-122.34,1020.0,5500,1
